Happy,Angry,Surprise,Sad,Fear,emotion
0.10666666666666667,0.06333333333333334,0.20666666666666667,0.2333333333333333,0.38999999999999996,fear
0.0,0.0,0.0,0.0,1.0,fear
0.225,0.0,0.06,0.3,0.41000000000000003,fear
0.1,0.0,0.0,0.1,0.8,fear
1.0,0.0,0.0,0.0,0.0,happy
0.15,0.0,0.13333333333333333,0.23666666666666666,0.47666666666666674,fear
0.0,0.0,0.29,0.0,0.71,fear
0.12,0.0,0.21,0.25,0.42,fear
0.2,0.0,0.08,0.16499999999999998,0.56,fear
0.2,0.2,0.2,0.2,0.2,happy
0.15,0.060000000000000005,0.195,0.215,0.385,fear
0.05500000000000001,0.07,0.1,0.26,0.515,fear
0.07500000000000001,0.07,0.115,0.18500000000000003,0.5575,fear
0.1725,0.0175,0.15500000000000003,0.1925,0.46,fear
0.1,0.0,0.14,0.38,0.38,sad
0.0,0.0,0.0,0.2975,0.7025,fear
0.0,0.0,0.085,0.25,0.665,fear
0.04,0.0,0.1,0.12,0.74,fear
0.0,0.12,0.0,0.38,0.5,fear
0.0,0.12,0.25,0.25,0.38,fear
0.12,0.04,0.155,0.08499999999999999,0.595,fear
0.05,0.0,0.2,0.25,0.5,fear
0.08,0.0,0.08,0.33,0.5,fear
0.08,0.12,0.12,0.32,0.36,fear
0.018,0.11600000000000002,0.066,0.248,0.5559999999999999,fear
0.07,0.0,0.13,0.27,0.53,fear
0.2,0.0,0.07,0.07,0.67,fear
0.11,0.09,0.23,0.21,0.36,fear
0.0,0.0,0.16,0.32,0.52,fear
0.11,0.08,0.08,0.28,0.44,fear
0.09333333333333334,0.016666666666666666,0.10333333333333333,0.22,0.57,fear
0.0,0.06,0.06,0.38,0.5,fear
0.1,0.07,0.1,0.31,0.41,fear
0.045,0.02,0.045,0.265,0.625,fear
0.0,0.0,0.0,0.33,0.67,fear
0.0,0.18,0.18,0.41,0.24,sad
0.035,0.035,0.14,0.36,0.43,fear
0.18,0.18,0.12,0.18,0.35,fear
0.09,0.02,0.09,0.45499999999999996,0.345,sad
0.0,0.0,1.0,0.0,0.0,surprise
0.22,0.0,0.22,0.06,0.5,fear
0.06,0.07,0.08,0.02,0.77,fear
0.0,0.0,0.22,0.5,0.28,sad
0.08333333333333333,0.01,0.15333333333333335,0.18666666666666668,0.57,fear
0.06,0.0,0.355,0.075,0.5,fear
0.0,0.0,0.0,0.1,0.9,fear
